	user_id	exercise	problem_type	problem_number	topic_mode	suggested	review_mode	time_done	time_taken	time_taken_attempts	correct	count_attempts	hint_used	count_hints	hint_time_taken_list	earned_proficiency	points_earned
16357168	16	adding_and_subtracting_negative_numbers	MINUS	1	True	False	False	1385886485886060	23	4&3&0&16	False	4	False	0		False	0
1313771	16	adding_and_subtracting_negative_numbers	PLUS	2	True	False	False	1385886523945820	8	5&3	False	2	False	0		False	0
9673826	16	adding_and_subtracting_negative_numbers	PLUS	3	True	True	False	1385886536241340	4	4	True	1	False	0		False	225
6604554	16	adding_and_subtracting_negative_numbers	MINUS	4	True	True	False	1385886564320680	7	7	True	1	False	0		False	225
7494569	16	adding_and_subtracting_negative_numbers	PLUS	5	True	True	False	1385886567807990	3	3	True	1	False	0		False	225
23410048	16	adding_and_subtracting_negative_numbers	PLUS	6	True	True	False	1385886575494780	7	7	True	1	False	0		False	225
11951168	16	adding_and_subtracting_negative_numbers	PLUS	7	True	True	False	1385886583464030	7	7	True	1	False	0		False	225
23777994	16	adding_and_subtracting_negative_numbers	MINUS	8	True	True	False	1385886589925270	6	6	True	1	False	0		False	210
12645184	16	adding_and_subtracting_negative_numbers	MINUS	9	True	False	False	1385886595577000	7	5&0&2	False	3	False	0		False	0
2706438	16	adding_and_subtracting_negative_numbers	MINUS	10	True	False	False	1385886614427370	37	6&1&5&0&9&0&16	False	7	True	5	3&7&7&10&13	False	0
19517530	16	adding_and_subtracting_negative_numbers	MINUS	11	True	False	False	1385886654330740	26	8&0&9&0&4&1&2&2	False	8	False	0		False	0
10307828	16	adding_and_subtracting_negative_numbers	PLUS	12	True	True	False	1385886690099870	7	7	True	1	False	0		False	195
22217986	16	adding_and_subtracting_negative_numbers	PLUS	13	True	True	False	1385886699821700	4	4	True	1	False	0		False	195
6653552	16	adding_and_subtracting_negative_numbers	MINUS	14	True	True	False	1385886703699620	3	3	True	1	False	0		False	195
6848466	16	adding_and_subtracting_negative_numbers	PLUS	15	True	False	False	1385886712746250	9	7&2	False	2	False	0		False	0
14710346	16	adding_and_subtracting_negative_numbers	PLUS	16	True	True	False	1385886736825770	7	7	True	1	False	0		False	195
13215144	16	adding_and_subtracting_negative_numbers	PLUS	17	True	True	False	1385886741463890	4	4	True	1	False	0		False	195
3437689	16	adding_and_subtracting_negative_numbers	MINUS	18	True	True	False	1385886744588990	2	2	True	1	False	0		False	195
5868997	16	adding_and_subtracting_negative_numbers	MINUS	19	True	False	False	1385886750257770	11	5&0&6	False	3	False	0		False	0
21105322	16	adding_and_subtracting_negative_numbers	MINUS	20	True	True	False	1385886763113380	6	6	True	1	False	0		False	195
20313638	16	adding_and_subtracting_negative_numbers	MINUS	21	True	False	False	1385886787477440	14	13&0&1&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0&0	False	50	False	0		False	0
18974042	16	adding_and_subtracting_negative_numbers	PLUS	22	True	True	False	1385886877404640	6	6	True	1	False	0		False	195
8020589	16	adding_and_subtracting_negative_numbers	PLUS	23	True	False	False	1385886884042310	9	6&0&3	False	3	False	0		False	0
10588720	16	adding_and_subtracting_negative_numbers	MINUS	24	True	False	False	1385886897358580	15	9&0&6	False	3	False	0		False	0
4974274	16	adding_and_subtracting_negative_numbers	PLUS	25	True	True	False	1385886912668700	8	8	True	1	False	0		False	195
199823	16	adding_and_subtracting_negative_numbers	PLUS	26	True	True	False	1385886925278640	12	12	True	1	False	0		False	195
7866970	16	adding_and_subtracting_negative_numbers	PLUS	27	True	True	False	1385886935969170	7	7	True	1	False	0		False	195
863941	16	adding_and_subtracting_negative_numbers	MINUS	28	True	False	False	1385886938485100	9	5&2&0&2	False	4	False	0		False	0
1155612	16	adding_and_subtracting_negative_numbers	MINUS	29	True	True	False	1385887032742270	6	6	True	1	False	0		False	195
24892051	16	adding_and_subtracting_negative_numbers	MINUS	30	True	True	False	1385887038450870	4	4	True	1	False	0		False	195
4497110	16	adding_and_subtracting_negative_numbers	MINUS	31	True	False	False	1385887045531650	21	7&4&0&2&0&1&0&1&1&2&1&2	False	12	False	0		False	0
14536633	16	adding_and_subtracting_negative_numbers	PLUS	32	True	False	False	1385887078833140	26	18&0&8	False	3	False	0		False	0
19796050	16	adding_and_subtracting_negative_numbers	PLUS	33	True	True	False	1385887096706850	8	8	True	1	False	0		False	195
2457156	16	adding_and_subtracting_negative_numbers	MINUS	34	True	False	False	1385887102762590	31	5&0&26	False	3	True	1	16	False	0
1204740	16	adding_and_subtracting_negative_numbers	PLUS	35	True	False	False	1385887140566220	8	7&0&1	False	3	False	0		False	0
1614383	16	adding_and_subtracting_negative_numbers	PLUS	36	True	True	False	1385887150895820	7	7	True	1	False	0		False	195
20613028	16	adding_and_subtracting_negative_numbers	PLUS	37	True	False	False	1385887726746750	223	213&0&4&0&4&0&2	False	7	True	5	6&18&19&20&21	False	0
3477145	16	adding_and_subtracting_negative_numbers	MINUS	38	True	False	False	1385887773886110	23	23	False	1	True	2	14&18	False	0
7627549	16	adding_and_subtracting_negative_numbers	MINUS	39	True	False	False	1385887795838350	55	13&0&39&0&3	False	5	True	1	6	False	0
10258856	16	adding_and_subtracting_negative_numbers	MINUS	40	True	True	False	1385887862387720	4	4	True	1	False	0		False	195
6276594	16	adding_and_subtracting_negative_numbers	MINUS	41	True	True	False	1385887882602980	19	19	True	1	False	0		False	195
23115588	16	adding_and_subtracting_negative_numbers	PLUS	42	True	False	False	1385887921164430	58	58	False	1	True	5	8&8&9&10&10	False	195
4799334	16	adding_and_subtracting_negative_numbers	PLUS	43	True	False	False	1385887966290340	10	8&2	False	2	False	0		False	0
8963378	16	adding_and_subtracting_negative_numbers	MINUS	44	True	False	False	1385887973750320	10	10	False	1	True	5	5&6&6&6&7	False	0
25004126	16	adding_and_subtracting_negative_numbers	PLUS	45	True	False	False	1385887982231890	7	7	False	1	True	5	2&3&3&4&4	False	0
16236104	16	adding_and_subtracting_negative_numbers	PLUS	46	True	False	False	1385887989669590	7	7	False	1	True	5	2&2&3&3&4	False	0
19948065	16	adding_and_subtracting_negative_numbers	PLUS	47	True	False	False	1385888006280090	11	11	False	1	True	5	3&3&4&4&7	False	0
25077327	16	adding_and_subtracting_negative_numbers	MINUS	48	True	False	False	1385888024778480	9	9	False	1	True	5	5&5&6&6&7	False	0
19908019	16	adding_and_subtracting_negative_numbers	MINUS	49	True	False	False	1385888055019940	9	9	False	1	True	5	4&4&5&5&6	False	0
2753785	16	adding_and_subtracting_negative_numbers	MINUS	50	True	False	False	1385888063218400	14	14	False	1	True	5	2&3&4&20&20	False	195
18093384	16	adding_and_subtracting_negative_numbers	MINUS	51	True	False	False	1385888179222910	13	13	False	1	True	5	7&8&9&10&11	False	0
10437408	16	adding_and_subtracting_negative_numbers	PLUS	52	True	False	False	1385888188843210	7	7	False	1	True	5	2&3&3&4&4	False	0
19237391	16	adding_and_subtracting_negative_numbers	PLUS	53	True	False	False	1385888222992540	28	28	False	1	True	5	9&11&3&3&13	False	0
24808427	16	adding_and_subtracting_negative_numbers	MINUS	54	True	False	False	1385888724454830	34	34	False	1	True	5	8&8&9&9&12	False	0
15939042	16	adding_and_subtracting_negative_numbers	PLUS	55	True	False	False	1385888754373180	21	21	False	1	True	5	2&3&4&5&5	False	0
23509319	16	adding_and_subtracting_negative_numbers	PLUS	56	True	False	False	1385888784729470	27	23&3&0&1	False	4	True	5	5&6&7&8&8	False	0
17229530	16	adding_and_subtracting_negative_numbers	PLUS	57	True	False	False	1385888817670810	17	17	False	1	True	5	10&10&11&11&12	False	0
12201646	16	adding_and_subtracting_negative_numbers	MINUS	58	True	False	False	1385888836827930	23	23	False	1	True	5	11&12&12&13&13	False	0
11894109	16	adding_and_subtracting_negative_numbers	MINUS	59	True	False	False	1385888860576520	15	15	False	1	True	5	10&11&12&13&13	False	0
21092522	16	adding_and_subtracting_negative_numbers	MINUS	60	True	False	False	1385888882480340	22	22	False	1	True	5	2&3&14&15&16	False	0
24536212	16	adding_and_subtracting_negative_numbers	MINUS	61	True	True	False	1385888913561620	9	9	True	1	False	0		False	195
6553776	16	adding_and_subtracting_negative_numbers	PLUS	62	True	False	False	1385888926618490	22	22	False	1	True	5	12&13&13&14&15	False	0
14234089	16	adding_and_subtracting_negative_numbers	PLUS	63	True	False	False	1385888947119630	15	15	False	1	True	5	10&11&12&13&13	False	0
17493494	16	adding_and_subtracting_negative_numbers	MINUS	64	True	False	False	1385888979939360	25	25	False	1	True	4	21&22&22&23	False	0
16878511	16	adding_and_subtracting_negative_numbers	PLUS	65	True	False	False	1385888997520510	19	19	False	1	True	5	12&13&14&15&16	False	0
21514210	16	adding_and_subtracting_negative_numbers	PLUS	66	True	True	False	1385889015408260	10	10	True	1	False	0		False	195
380890	16	adding_and_subtracting_negative_numbers	PLUS	67	True	False	False	1385889028244380	46	12&34	False	2	True	5	18&19&20&20&23	False	0
23566317	16	adding_and_subtracting_negative_numbers	MINUS	68	True	False	False	1385889074849930	20	20	False	1	True	5	12&13&13&14&15	False	0
16974669	16	adding_and_subtracting_negative_numbers	MINUS	69	True	False	False	1385889123918230	13	11&0&2	False	3	False	0		False	0
18066428	16	adding_and_subtracting_negative_numbers	MINUS	70	True	False	False	1385889142081090	19	19	False	1	True	2	15&16	False	0
7912750	16	adding_and_subtracting_negative_numbers	MINUS	71	True	True	False	1385889161088740	13	13	True	1	False	0		False	195
16971628	16	adding_and_subtracting_negative_numbers	PLUS	72	True	True	False	1385889195686560	14	14	True	1	False	0		False	195
8842017	16	adding_and_subtracting_negative_numbers	PLUS	73	True	True	False	1385889204922510	8	8	True	1	False	0		False	195
554522	16	adding_and_subtracting_negative_numbers	MINUS	74	True	True	False	1385889219988500	14	14	True	1	False	0		False	195
6537765	16	adding_and_subtracting_negative_numbers	PLUS	75	True	False	False	1385889286765720	84	55&0&3&26	False	4	True	1	7	False	0
18621767	16	adding_and_subtracting_negative_numbers	PLUS	76	True	True	False	1385889328032820	11	11	True	1	False	0		False	195
212443	16	adding_and_subtracting_negative_numbers	PLUS	77	True	True	False	1385889358212120	29	29	True	1	False	0		False	195
12364169	16	adding_and_subtracting_negative_numbers	MINUS	78	True	True	False	1385889374067730	15	15	True	1	False	0		False	195
8371816	16	adding_and_subtracting_negative_numbers	MINUS	79	True	True	False	1385889387736570	13	13	True	1	False	0		False	195
5378674	16	adding_and_subtracting_negative_numbers	MINUS	80	True	False	False	1385889454796460	63	59&0&2&0&2	False	5	False	0		False	0
9196250	16	adding_and_subtracting_negative_numbers	MINUS	81	True	True	False	1385889487637870	11	11	True	1	False	0		False	195
9521849	16	adding_and_subtracting_negative_numbers	PLUS	82	True	False	False	1385889497657810	11	9&0&2	False	3	False	0		False	0
12127534	16	adding_and_subtracting_negative_numbers	PLUS	83	True	True	False	1385889506984710	6	6	True	1	False	0		False	195
9963364	16	adding_and_subtracting_negative_numbers	MINUS	84	True	False	False	1385889513150560	25	5&0&18&0&2	False	5	True	3	13&14&14	False	0
22170843	16	adding_and_subtracting_negative_numbers	PLUS	85	True	False	False	1385889597852550	29	15&0&2&0&0&12	False	6	True	4	8&3&4&5	False	0
17693348	16	adding_and_subtracting_negative_numbers	PLUS	86	True	False	False	1385889624076150	7	7	False	1	True	4	3&4&4&5	False	0
14771858	16	adding_and_subtracting_negative_numbers	PLUS	87	True	False	False	1385889632645950	6	6	False	1	True	4	1&2&2&3	False	0
13393560	16	adding_and_subtracting_negative_numbers	MINUS	88	True	True	False	1385889667006350	23	23	True	1	False	0		False	195
24074241	16	adding_and_subtracting_negative_numbers	MINUS	89	True	True	False	1385889686770470	14	14	True	1	False	0		False	195
15323954	16	adding_and_subtracting_negative_numbers	MINUS	90	True	True	False	1385889716798070	29	29	True	1	False	0		False	195
7275941	16	adding_and_subtracting_negative_numbers	MINUS	91	True	True	False	1385889741334270	23	23	True	1	False	0		False	195
21354312	16	adding_and_subtracting_negative_numbers	PLUS	92	True	False	False	1385889757641810	16	15&0&1	False	3	False	0		False	0
16524035	16	adding_and_subtracting_negative_numbers	PLUS	93	True	False	False	1385889769497870	20	9&1&0&10	False	4	True	3	4&6&6	False	0
15633050	16	adding_and_subtracting_negative_numbers	MINUS	94	True	False	False	1385889785762830	14	4&0&1&0&9	False	5	True	2	4&6	False	0
4052162	16	adding_and_subtracting_negative_numbers	PLUS	95	True	False	False	1385889798768380	9	9	False	1	True	3	1&2&5	False	0
6782559	16	adding_and_subtracting_negative_numbers	PLUS	96	True	False	False	1385889808527730	6	6	False	1	True	3	1&2&3	False	0
18739246	16	adding_and_subtracting_negative_numbers	PLUS	97	False	True	False	1385890037555780	15	15	True	1	False	0		False	195
15442925	16	adding_and_subtracting_negative_numbers	MINUS	98	False	False	False	1385890041067050	2	2&0	False	2	False	0		False	0
19555292	16	adding_and_subtracting_negative_numbers	MINUS	99	False	True	False	1385890186520290	68	68	True	1	False	0		False	195
25874267	16	adding_and_subtracting_negative_numbers	MINUS	100	False	True	False	1385890199852820	12	12	True	1	False	0		False	195
74998	16	adding_and_subtracting_negative_numbers	MINUS	101	False	True	False	1385890261080830	60	60	True	1	False	0		False	195
22795319	16	adding_and_subtracting_negative_numbers	PLUS	102	False	True	False	1385890276757090	15	15	True	1	False	0		False	195
2918452	16	adding_and_subtracting_negative_numbers	PLUS	103	False	True	False	1385890421455890	144	144	True	1	False	0		False	195
15732533	16	adding_and_subtracting_negative_numbers	MINUS	104	False	True	False	1385890445339190	23	23	True	1	False	0		False	195
6103123	16	adding_and_subtracting_negative_numbers	PLUS	105	False	True	False	1385890478246190	18	18	True	1	False	0		False	180
23598003	16	adding_and_subtracting_negative_numbers	PLUS	106	False	True	False	1385890496672180	17	17	True	1	False	0		False	165
21597445	16	adding_and_subtracting_negative_numbers	PLUS	107	False	True	False	1385890657981680	105	105	True	1	False	0		False	150
6257506	16	adding_and_subtracting_negative_numbers	MINUS	108	False	False	False	1385890806856770	162	148&4&10	False	3	True	3	2&4&6	False	0
1675809	16	adding_and_subtracting_negative_numbers	MINUS	109	False	True	False	1385890854468790	33	33	True	1	False	0		False	135
10461169	16	adding_and_subtracting_negative_numbers	MINUS	110	False	True	False	1385890857844790	2	2	True	1	False	0		False	135
9077472	16	adding_and_subtracting_negative_numbers	MINUS	111	False	True	False	1385890869075260	10	10	True	1	False	0		False	135
3895863	16	adding_and_subtracting_negative_numbers	PLUS	112	False	False	False	1385891071458460	205	202&3	False	2	False	0		False	0
2820058	16	adding_and_subtracting_negative_numbers	PLUS	113	False	False	False	1385891117501400	36	36&0	False	2	True	5	2&6&7&8&9	False	0
22192740	16	adding_and_subtracting_negative_numbers	MINUS	114	False	True	False	1385891213282150	26	26	True	1	False	0		False	135
2801152	16	adding_and_subtracting_negative_numbers	PLUS	115	False	True	False	1385891272620390	58	58	True	1	False	0		False	135
12291264	16	adding_and_subtracting_negative_numbers	PLUS	116	False	True	False	1385891281770860	8	8	True	1	False	0		False	135
22720913	16	adding_and_subtracting_negative_numbers	PLUS	117	False	False	False	1385891308541620	28	26&2	False	2	False	0		False	0
22912473	16	adding_and_subtracting_negative_numbers	MINUS	118	False	True	False	1385891387021080	68	68	True	1	False	0		False	135
